Date,Close,High,Low,Open,Volume
2018-01-02,1145.2099609375,1145.2099609375,1145.2099609375,1145.2099609375,0
2018-01-03,1154.0999755859375,1154.0999755859375,1154.0999755859375,1154.0999755859375,0
2018-01-04,1182.9300537109375,1182.9300537109375,1182.9300537109375,1182.9300537109375,0
2018-01-05,1198.5899658203125,1198.5899658203125,1198.5899658203125,1198.5899658203125,0
2018-01-08,1215.510009765625,1215.510009765625,1215.510009765625,1215.510009765625,0
2018-01-09,1225.02001953125,1225.02001953125,1225.02001953125,1225.02001953125,0
2018-01-10,1208.1400146484375,1208.1400146484375,1208.1400146484375,1208.1400146484375,0
2018-01-11,1215.1800537109375,1215.1800537109375,1215.1800537109375,1215.1800537109375,0
2018-01-12,1222.1300048828125,1222.1300048828125,1222.1300048828125,1222.1300048828125,0
2018-01-16,1214.52001953125,1214.52001953125,1214.52001953125,1214.52001953125,0
2018-01-17,1181.0899658203125,1181.0899658203125,1181.0899658203125,1181.0899658203125,0
2018-01-18,1184.489990234375,1184.489990234375,1184.489990234375,1184.489990234375,0
2018-01-19,1214.239990234375,1214.239990234375,1214.239990234375,1214.239990234375,0
2018-01-22,1215.22998046875,1215.22998046875,1215.22998046875,1215.22998046875,0
2018-01-23,1245.43994140625,1245.43994140625,1245.43994140625,1245.43994140625,0
2018-01-24,1264.1700439453125,1264.1700439453125,1264.1700439453125,1264.1700439453125,0
2018-01-25,1285.3900146484375,1285.3900146484375,1285.3900146484375,1285.3900146484375,0
2018-01-26,1286.010009765625,1286.010009765625,1286.010009765625,1286.010009765625,0
2018-01-29,1298.8699951171875,1298.8699951171875,1298.8699951171875,1298.8699951171875,0
2018-01-30,1251.5400390625,1251.5400390625,1251.5400390625,1251.5400390625,0
2018-01-31,1280.3299560546875,1280.3299560546875,1280.3299560546875,1280.3299560546875,0
2018-02-01,1273.81005859375,1273.81005859375,1273.81005859375,1273.81005859375,0
2018-02-02,1270.3599853515625,1270.3599853515625,1270.3599853515625,1270.3599853515625,0
2018-02-05,1235.56005859375,1235.56005859375,1235.56005859375,1235.56005859375,0
2018-02-06,1225.5799560546875,1225.5799560546875,1225.5799560546875,1225.5799560546875,0
2018-02-07,1236.9300537109375,1236.9300537109375,1236.9300537109375,1236.9300537109375,0
2018-02-08,1238.719970703125,1238.719970703125,1238.719970703125,1238.719970703125,0
2018-02-09,1207.280029296875,1207.280029296875,1207.280029296875,1207.280029296875,0
2018-02-12,1200.9000244140625,1200.9000244140625,1200.9000244140625,1200.9000244140625,0
2018-02-13,1199.010009765625,1199.010009765625,1199.010009765625,1199.010009765625,0
2018-02-14,1173.81005859375,1173.81005859375,1173.81005859375,1173.81005859375,0
2018-02-15,1189.0799560546875,1189.0799560546875,1189.0799560546875,1189.0799560546875,0
2018-02-16,1182.3599853515625,1182.3599853515625,1182.3599853515625,1182.3599853515625,0
2018-02-20,1154.8499755859375,1154.8499755859375,1154.8499755859375,1154.8499755859375,0
2018-02-21,1139.8599853515625,1139.8599853515625,1139.8599853515625,1139.8599853515625,0
2018-02-22,1162.7900390625,1162.7900390625,1162.7900390625,1162.7900390625,0
2018-02-23,1156.8299560546875,1156.8299560546875,1156.8299560546875,1156.8299560546875,0
2018-02-26,1124.1600341796875,1124.1600341796875,1124.1600341796875,1124.1600341796875,0
2018-02-27,1132.77001953125,1132.77001953125,1132.77001953125,1132.77001953125,0
2018-02-28,1130.72998046875,1130.72998046875,1130.72998046875,1130.72998046875,0
2018-03-01,1129.449951171875,1129.449951171875,1129.449951171875,1129.449951171875,0
2018-03-02,1096.780029296875,1096.780029296875,1096.780029296875,1096.780029296875,0
2018-03-05,1069.2900390625,1069.2900390625,1069.2900390625,1069.2900390625,0
2018-03-06,1088.6300048828125,1088.6300048828125,1088.6300048828125,1088.6300048828125,0
2018-03-07,1062.050048828125,1062.050048828125,1062.050048828125,1062.050048828125,0
2018-03-08,1085.6199951171875,1085.6199951171875,1085.6199951171875,1085.6199951171875,0
2018-03-09,1084.0899658203125,1084.0899658203125,1084.0899658203125,1084.0899658203125,0
2018-03-12,1104.719970703125,1104.719970703125,1104.719970703125,1104.719970703125,0
2018-03-13,1101.9599609375,1101.9599609375,1101.9599609375,1101.9599609375,0
2018-03-14,1090.300048828125,1090.300048828125,1090.300048828125,1090.300048828125,0
2018-03-15,1086.1400146484375,1086.1400146484375,1086.1400146484375,1086.1400146484375,0
2018-03-16,1073.969970703125,1073.969970703125,1073.969970703125,1073.969970703125,0
2018-03-19,1080.8900146484375,1080.8900146484375,1080.8900146484375,1080.8900146484375,0
